tt0035790,Action:History:War
tt0086837,Adventure:Mystery:Sci-Fi:Thriller
tt0088751,Comedy:Horror:Sci-Fi
tt0094859,Comedy
tt0112502,Horror:Thriller
tt0117743,Drama:Romance
tt0118141,Drama
tt0119231,Comedy
tt0120667,Action:Adventure:Family:Fantasy:Sci-Fi
tt0121164,Animation:Drama:Family:Fantasy:Musical:Romance
tt0121569,Mystery:Thriller
tt0121766,Action:Adventure:Fantasy:Sci-Fi
tt0135986,Comedy:Drama:Romance:Sport
tt0136517,Comedy:Drama
tt0144280,Crime:Fantasy:Mystery
tt0159369,Documentary
tt0160261,Thriller
tt0160706,Crime:Drama:Thriller
tt0179803,Comedy
tt0180683,Comedy:Drama
tt0197633,Animation:Comedy:Musical:Sci-Fi
tt0197922,Drama:Romance
tt0200465,Crime:Drama:Romance:Thriller
tt0202267,Action:Drama:Fantasy:Thriller
tt0204250,Comedy:Mystery
tt0204322,Crime:Drama:Mystery:Thriller
tt0206634,Drama:Sci-Fi:Thriller
tt0211933,Crime:Drama:Mystery:Thriller
tt0214275,Comedy:Romance
tt0216746,Comedy
tt0218140,Drama
tt0222167,Comedy:Romance
tt0227189,Sci-Fi:Thriller
tt0227671,Comedy
tt0228906,Action:Comedy:Crime
tt0230212,Drama
tt0234084,Drama:Fantasy
tt0238992,Comedy
tt0243462,Adventure:Family:Fantasy
tt0244306,Action:Adventure:Comedy
tt0249516,Animation:Action:Comedy:Family:Fantasy:Mystery:Sci-Fi
tt0251744,Comedy:Drama
tt0251951,Comedy:Fantasy:Sci-Fi
tt0255820,Biography:Comedy:Drama:History
tt0259324,Action:Fantasy:Horror:Thriller
tt0259822,Crime:Drama:Thriller
tt0260042,Drama
tt0263495,Crime:Drama
tt0264323,Comedy:Horror
tt0266732,Drama
tt0267024,Animation:Adventure:Sci-Fi
tt0267506,Horror
tt0267891,Comedy:Sport
tt0268727,Adventure:Drama:War
tt0270417,Comedy:Romance
tt0275236,Comedy:Music
tt0275258,Comedy:Drama
tt0279683,Drama
tt0279688,Horror
tt0283503,Crime:Drama
tt0285175,Crime:Drama
tt0285252,Comedy
tt0285682,Comedy:Romance
tt0287072,Horror:Mystery:Thriller
tt0287760,Documentary
tt0289275,Comedy:Drama
tt0290747,Action:Adventure:Horror:Romance:Sci-Fi
tt0292963,Crime:Drama:Thriller
tt0293069,Thriller
tt0293354,Musical:Adventure:Family:Fantasy
tt0293564,Action:Comedy:Crime:Thriller
tt0294654,Comedy
tt0294806,Adventure:Drama:Family
tt0294870,Drama:Musical:Romance
tt0295605,Drama:Romance
tt0296604,Drama:Mystery:Thriller
tt0298903,Animation:Comedy:Family
tt0299135,Drama
tt0299160,Drama
tt0299215,Comedy
tt0300922,Comedy:Romance
tt0301036,Thriller
tt0301265,Action:Thriller
tt0302498,Comedy
tt0302545,Drama:Romance
tt0304356,Comedy:Drama:Mystery:Thriller
tt0305858,Comedy:Romance
tt0306947,Drama
tt0308055,Biography:Drama:History
tt0308353,Animation:Adventure:Comedy:Family:Fantasy
tt0309578,Action:Romance:Comedy
tt0310243,Drama:Crime
tt0310334,Comedy
tt0310794,Documentary
tt0311448,Drama:Romance
tt0311698,Comedy:Drama
tt0311862,Drama
tt0312004,Animation:Comedy:Family:Mystery:Sci-Fi
tt0312305,Animation:Sci-Fi:Adventure
tt0314096,Documentary:Biography
tt0315323,Comedy:Drama:Thriller
tt0315354,Drama
tt0315431,Drama
tt0317132,Comedy:Drama:Family
tt0317219,Animation:Comedy:Family:Sport
tt0317919,Action:Adventure:Thriller
tt0318649,Action:Adventure:Comedy:Thriller
tt0318761,Comedy:Drama
tt0319115,Drama:Horror
tt0320626,Horror:Mystery:Thriller
tt0320661,Action:Adventure:Drama:History:War
tt0321858,Drama:Sport
tt0322332,Documentary:Sport
tt0323120,Drama:Romance
tt0323629,Sci-Fi
tt0323808,Drama:Horror
tt0325651,Comedy:Romance
tt0326367,Drama:Thriller
tt0326905,Action:Drama:War
tt0326965,Drama:Mystery:Thriller
tt0327084,Animation:Adventure:Comedy:Family
tt0327498,Comedy:Family
tt0327597,Animation:Family:Fantasy
tt0327643,Comedy:Romance
tt0328179,Comedy:Drama
tt0328503,Drama:Musical:Romance
tt0328899,Comedy:Horror:Mystery
tt0329354,Comedy
tt0329539,Adventure:Comedy:Romance
tt0329774,Action:Adventure:Crime:Drama:Mystery:Thriller
tt0330238,Crime
tt0330373,Adventure:Family:Fantasy:Mystery
tt0330972,Action:Adventure:Sci-Fi
tt0331312,Comedy:Drama
tt0331314,Animation:Adventure:Comedy:Family:Fantasy
tt0331334,Horror
tt0331933,Action:Comedy
tt0332047,Comedy:Drama:Romance:Sport
tt0337122,Drama:Thriller
tt0337584,Comedy
tt0337609,Action:Crime:Drama
tt0337646,Drama
tt0337656,Drama:Mystery:Romance:Thriller
tt0337735,Drama:Romance
tt0337882,Comedy:Crime:Drama
tt0337899,Drama:Mystery:Thriller
tt0337978,Action:Adventure:Thriller
tt0338187,Drama
tt0338216,Drama:Romance:Sport
tt0338294,Comedy:Crime:Drama:Horror:Action
tt0338427,Drama:Romance
tt0338443,Sci-Fi:Action:Comedy
tt0339642,Comedy:Drama:Music:Romance
tt0339736,Horror
tt0340084,Action:Adventure:Fantasy:Thriller
tt0340163,Action:Crime:Drama:Mystery:Thriller
tt0340321,Comedy:Horror:Thriller
tt0341569,Biography:Drama
tt0342640,Comedy:Drama
tt0343737,Drama:History:Thriller
tt0343996,Drama:Romance
tt0344074,Drama
tt0345228,Drama
tt0345370,Comedy:Drama
tt0345601,Crime:Drama
tt0346631,Action:Drama
tt0347884,Drama:Mystery
tt0348062,Comedy:Horror
tt0348150,Action:Adventure:Sci-Fi
tt0348333,Comedy
tt0348505,Drama:Romance:Thriller
tt0349349,Comedy:Fantasy:Horror:Sci-Fi
tt0349467,Crime:Drama:Mystery:Thriller
tt0350002,Documentary:Music
tt0350128,Comedy:Horror
tt0351283,Animation:Adventure:Comedy:Family
tt0351885,Drama
tt0352248,Biography:Drama:Sport
tt0353008,Drama
tt0353248,Action:Thriller
tt0353324,Action:Adventure:Comedy:Fantasy:Horror:Thriller
tt0353357,Action:Adventure:Crime:Drama:Mystery:Thriller
tt0353515,Documentary
tt0354578,Drama:Romance
tt0354595,Drama:History:Sport
tt0355295,Adventure:Comedy:Fantasy:Thriller
tt0355702,Biography:Drama:Sport
tt0356680,Comedy:Drama:Romance
tt0356910,Action:Comedy:Crime:Romance:Thriller
tt0357110,Drama
tt0357182,Thriller:Crime:Romance
tt0357507,Drama:Horror:Mystery:Thriller
tt0357545,Animation:Action:Comedy
tt0357668,Action:Adventure
tt0357848,Horror:Thriller
tt0358082,Animation:Adventure:Comedy:Family:Sci-Fi
tt0358273,Biography:Drama:Music:Romance
tt0358294,Action:Adventure:Thriller
tt0358456,Documentary
tt0359389,Comedy:Documentary:Drama:Family
tt0359950,Adventure:Comedy:Drama:Fantasy:Romance
tt0359984,Drama:Fantasy:Romance:Thriller
tt0360016,Comedy:Drama:Romance
tt0360323,Crime:Drama:Thriller
tt0360486,Drama:Fantasy:Horror:Thriller
tt0361089,Animation:Adventure:Comedy:Family:War
tt0361400,Drama
tt0361500,Animation:Adventure:Comedy:Fantasy:Romance
tt0361693,Comedy:Drama:Music:Romance:Thriller
tt0361715,Adventure:Drama:Family
tt0361724,Comedy:Horror
tt0361748,Adventure:Drama:War
tt0361852,Comedy:Fantasy
tt0361858,Comedy
tt0362058,Documentary:Comedy
tt0362120,Comedy
tt0362165,Comedy:Family:Fantasy
tt0362478,Drama:Fantasy:Mystery:Thriller
tt0362691,Drama
tt0362822,Drama:Sci-Fi
tt0362993,Drama:Romance
tt0363240,Music:Sci-Fi
tt0363269,Comedy:Romance
tt0363504,Comedy:Drama:Romance
tt0363713,Drama:Romance
tt0363771,Adventure:Family:Fantasy
tt0363778,Drama:Romance
tt0363779,Drama
tt0363780,Comedy:Drama:Romance
tt0364098,Thriller
tt0364376,Comedy:Fantasy:Horror
tt0364556,Drama:Romance
tt0364599,Drama:Horror
tt0364616,Thriller:Action:Adventure:Drama:Horror
tt0364745,Drama:Romance
tt0364955,Comedy:Drama
tt0365100,Comedy:Romance
tt0365254,Horror:Thriller
tt0365437,Comedy:Drama
tt0365737,Drama:Thriller
tt0365744,Crime:Mystery:Romance
tt0365830,Adventure:Comedy:Music:Musical
tt0365873,Comedy
tt0365880,Comedy
tt0365885,Comedy:Drama
tt0365907,Crime:Drama:Mystery:Thriller
tt0365929,Action:Crime:Mystery:Thriller
tt0366415,Documentary
tt0366548,Animation:Comedy:Family:Music:Musical:Romance
tt0366711,Action:Drama
tt0366780,Adventure:Fantasy
tt0366965,Thriller
tt0366971,Documentary
tt0367027,Drama:Romance
tt0367089,Comedy:Drama
tt0367594,Adventure:Comedy:Family:Fantasy
tt0367652,Comedy
tt0367862,Comedy
tt0367882,Action:Adventure:Fantasy
tt0367959,Crime:Drama:Horror:Thriller
tt0368133,Documentary
tt0368222,Comedy:Musical:Romance
tt0368264,Documentary
tt0368298,Comedy:Documentary:Sci-Fi
tt0368413,Romance:Thriller
tt0368563,Drama:Mystery:Thriller
tt0368571,Comedy:Romance
tt0368578,Adventure:Comedy:Family:Romance
tt0368662,Drama:Family:Comedy
tt0368709,Comedy:Drama:Romance
tt0369053,Drama:Romance:Thriller
tt0369255,Horror:Thriller
tt0369366,Action:Drama
tt0369441,Comedy:Crime
tt0369610,Action:Adventure:Sci-Fi
tt0369927,Western
tt0369994,Comedy
tt0370032,Action:Sci-Fi:Thriller
tt0371212,Drama:Music:Romance
tt0371257,Drama:Mystery:Thriller
tt0371407,Drama:Comedy:Documentary
tt0371530,Documentary:Comedy:Horror
tt0371606,Animation:Adventure:Comedy:Family:Sci-Fi
tt0371675,Adventure:Action:Fantasy
tt0371724,Adventure:Comedy:Sci-Fi
tt0371739,Crime:Drama:Horror:Mystery:Thriller
tt0371746,Action:Adventure:Sci-Fi
tt0371970,Adventure:Horror
tt0372005,Crime:Drama:Horror:Mystery:Thriller
tt0372122,Comedy:Drama:Music:Romance
tt0372237,Comedy:Romance
tt0372238,Animation:Adventure:Comedy:Family:Fantasy:Sci-Fi
tt0372346,Crime:Drama
tt0372401,Comedy:Romance
tt0372532,Comedy:Romance
tt0372538,Action:Crime:Drama:Mystery:Thriller
tt0372784,Action:Adventure:Thriller
tt0372799,Comedy:Drama:Romance
tt0372942,Drama
tt0372969,Documentary:Music
tt0372975,Horror
tt0373028,Comedy:Fantasy:Romance
tt0373051,Action:Adventure:Family:Fantasy:Sci-Fi
tt0373263,Comedy:Drama:Romance
tt0373340,Action:Adventure:Family
tt0373416,Action:Comedy:Crime:Drama:Thriller
tt0373432,Comedy:Thriller
tt0373469,Comedy:Crime:Mystery
tt0373817,Comedy:Documentary
tt0373883,Horror
tt0373889,Adventure:Family:Fantasy:Mystery
tt0373900,Crime:Drama:Thriller
tt0373908,Comedy:Drama:Family:Romance
tt0373926,Crime:Mystery:Thriller
tt0374170,Romance:Thriller
tt0374201,Adventure:Comedy
tt0374536,Comedy:Fantasy:Romance
tt0374563,Crime:Mystery:Thriller
tt0374718,Horror
tt0374826,Action:Drama
tt0374853,Adventure:Drama:Fantasy:Mystery:Thriller
tt0375008,Crime:Drama
tt0375154,Action:Drama:Romance:War
tt0375174,Documentary
tt0375195,Adventure:Thriller
tt0375210,Drama:Horror:Mystery:Thriller
tt0375785,Comedy:Romance
tt0376105,Adventure:Comedy:Drama:Family:Sport
tt0376108,Comedy:Family:Sport
tt0376136,Comedy:Drama
tt0376196,Drama:Mystery:Thriller
tt0376606,Thriller
tt0376633,Comedy
tt0376827,Comedy
tt0377029,Documentary
tt0377043,Drama
tt0377061,Comedy:Sci-Fi
tt0377107,Drama:Mystery
tt0377109,Horror:Mystery
tt0377320,Comedy:Drama
tt0377332,Documentary
tt0377471,Comedy:Crime:Music
tt0377800,Drama:Music
tt0377818,Action:Adventure:Comedy
tt0377864,Drama:Romance
tt0377981,Animation:Comedy:Family:Romance
tt0378109,Action:Adventure:Crime:Thriller
tt0378238,Action:Adventure:Crime:Thriller
tt0378546,Crime:Drama:Thriller
tt0378804,Drama:Thriller
tt0378816,Drama:Thriller
tt0379240,Action:Comedy:Thriller:Drama
tt0379290,Horror
tt0379341,Drama
tt0379402,Comedy:Romance
tt0379473,Documentary:Comedy
tt0379725,Biography:Crime:Drama:History
tt0379786,Action:Adventure:Sci-Fi:Thriller
tt0379865,Comedy:Drama:Romance:Sport
tt0380066,Horror:Mystery:Thriller
tt0380201,Action:Crime:Drama:Thriller
tt0380268,Documentary:Crime:History
tt0380510,Drama:Fantasy:Thriller
tt0380623,Comedy:Family:Romance
tt0380817,Comedy:Drama
tt0381053,Drama:Comedy
tt0381061,Action:Adventure:Thriller
tt0381341,Comedy
tt0381361,Drama:Romance:Thriller
tt0381505,Comedy:Drama
tt0381601,Action:Sci-Fi:Thriller
tt0381849,Adventure:Crime:Drama:Western
tt0381957,Drama
tt0381971,Animation:Adventure:Comedy:Family
tt0382036,Romance:Comedy:Drama
tt0382053,Drama:Romance
tt0382073,Drama:Romance
tt0382077,Drama:Horror:Mystery:Thriller
tt0382222,Comedy
tt0382382,Comedy:Drama:Romance
tt0382579,Comedy:Drama
tt0382625,Mystery:Thriller
tt0382628,Drama:Horror:Thriller
tt0382717,Comedy:Drama:Sport
tt0382910,Action:Sci-Fi:Western
tt0382932,Animation:Comedy:Family:Fantasy
tt0382992,Action:Adventure:Sci-Fi:Thriller
tt0383010,Comedy:Family
tt0383028,Comedy:Drama
tt0383060,Action:Adventure:Comedy:Family:Sci-Fi
tt0383216,Adventure:Comedy:Crime:Family:Mystery
tt0383274,Comedy:Drama
tt0383304,Mystery:Thriller
tt0383353,Comedy:Horror:Sci-Fi
tt0383358,Comedy
tt0383478,Comedy:Drama:Romance
tt0383491,Comedy
tt0383518,Drama
tt0383574,Action:Adventure:Fantasy
tt0383648,Comedy:Drama:Music:Romance
tt0383929,Drama
tt0383965,Crime:Drama
tt0384096,Crime:Musical
tt0384162,Documentary:Sport
tt0384286,Drama:Horror:Mystery:Thriller
tt0384573,Drama
tt0384642,Comedy:Family:Romance:Sport
tt0384680,Comedy:Drama
tt0384683,Biography:Drama:Music
tt0384686,Drama:History:Romance:War
tt0384699,Drama:War
tt0384793,Comedy
tt0384798,Biography:Drama
tt0384806,Drama:Horror:Mystery:Thriller
tt0384814,Drama:Romance
tt0384929,Drama:Romance
tt0385006,Comedy:Drama:Romance
tt0385056,Comedy:Drama
tt0385307,Action:Comedy:Crime
tt0385543,Drama:Horror
tt0385560,Horror
tt0385594,Comedy
tt0385622,Action:Crime:Thriller
tt0385666,Comedy
tt0385726,Biography:Drama:Sport
tt0385727,Comedy
tt0385752,Adventure:Family:Fantasy
tt0385880,Animation:Adventure:Comedy:Family:Fantasy:Mystery
tt0385890,Comedy
tt0385988,Adventure:Family:Musical
tt0386032,Documentary:Drama
tt0386140,Action:Adventure:Western
tt0386421,Drama
tt0386423,Documentary:Action:Adventure:Sport
tt0386534,Drama:Mystery:Thriller
tt0386588,Comedy:Romance
tt0386603,Comedy:Romance
tt0386757,Documentary
tt0386846,Action
tt0387037,Drama:Romance
tt0387059,Drama
tt0387126,Crime:Horror:Thriller
tt0387131,Drama:Mystery:Romance:Thriller
